Wed Mar 12 13:46:48 2025    cnv_purple_profile

         506475981 function calls (494362664 primitive calls) in 691.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     55/1    0.006    0.000  691.645  691.645 {built-in method builtins.exec}
        1    0.000    0.000  691.645  691.645 <string>:1(<module>)
        1    0.000    0.000  691.645  691.645 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/main.py:65(__init__)
        1    0.000    0.000  691.637  691.637 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/main.py:246(runTests)
        1    0.000    0.000  691.637  691.637 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/runner.py:159(run)
      2/1    0.000    0.000  691.636  691.636 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/suite.py:83(__call__)
      2/1    0.000    0.000  691.636  691.636 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/suite.py:102(run)
        1    0.000    0.000  691.636  691.636 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/case.py:649(__call__)
        1    0.000    0.000  691.636  691.636 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/case.py:557(run)
        1    0.000    0.000  691.627  691.627 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/python-3.10.6/lib/python3.10/unittest/case.py:548(_callTestMethod)
        1    0.000    0.000  691.627  691.627 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/tests/plugin_test.py:30(testWGTScnv)
        1    0.000    0.000  691.626  691.626 /u/ibancarz/git/djerba/src/lib/djerba/plugins/plugin_tester.py:56(run_basic_test)
        2    0.008    0.004  691.349  345.675 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/plugin.py:49(extract)
        2    0.011    0.006  570.129  285.064 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/purple_tools.py:40(analyze_segments)
      636    0.005    0.000  410.232    0.645 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/frame.py:10170(apply)
      636    0.009    0.000  410.211    0.645 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/apply.py:864(apply)
      636    0.003    0.000  410.197    0.645 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/apply.py:1061(apply_standard)
      636    1.127    0.002  409.821    0.644 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/apply.py:1070(apply_series_generator)
        4    0.034    0.008  409.811  102.453 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/purple_tools.py:437(pre_proc_loh)
   242648    8.277    0.000  404.998    0.002 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/purple_tools.py:440(<lambda>)
        1    0.000    0.000  346.959  346.959 /u/ibancarz/git/djerba/src/lib/djerba/core/main.py:373(extract)
        1    0.000    0.000  346.956  346.956 /u/ibancarz/git/djerba/src/lib/djerba/core/main.py:158(base_extract)
