sample	cell_type	score	ptile
BDAC_0001_01_LB01-01	T cell CD8+	0	0
BDAC_0002_01_LB01-01	T cell CD8+	0.027927256	35.29411765
BDAC_0003_01_LB01-01	T cell CD8+	0.278449094	96.63865546
BDWGTS_0158_02_LB02-01	T cell CD8+	0.023413216	31.09243697
BDWGTS_0198_01_LB01-01	T cell CD8+	0.016878661	26.05042017
BDWGTS_0218_01_LB01-01	T cell CD8+	0.020809558	29.41176471
BIOCAN_00092_01_LB03-01	T cell CD8+	0.022847181	31.09243697
BIOCAN_00095_01_LB03-01	T cell CD8+	0.096793303	73.1092437
BIOCAN_00096_01_LB02-01	T cell CD8+	0.013327606	25.21008403
BIOCAN_00097_01_LB02-01	T cell CD8+	0	0
BIOCAN_00098_01_LB02-01	T cell CD8+	0	0
BIOCAN_00099_01_LB03-01	T cell CD8+	0.000513165	16.80672269
BIOCAN_00100_01_LB02-01	T cell CD8+	0.067887504	64.70588235
BIOCAN_00102_01_LB02-01	T cell CD8+	0.032618571	42.01680672
BIOCAN_00103_01_LB02-01	T cell CD8+	0	0
BIOCAN_00107_01_LB02-01	T cell CD8+	0.240515113	95.79831933
BIOCAN_00109_01_LB02-01	T cell CD8+	0	0
BIOCAN_00110_01_LB02-01	T cell CD8+	0.028354711	35.29411765
BIOCAN_00112_01_LB02-01	T cell CD8+	0.011853232	23.52941176
BIOCAN_00113_01_LB02-01	T cell CD8+	0.048522675	58.82352941
BIODIVA_0078_02_LB05-01	T cell CD8+	0	0
BIODIVA_0080_02_LB02-01	T cell CD8+	0	0
BIODIVA_0085_01_LB04-01	T cell CD8+	0.045248266	56.30252101
BTC_0013_Lv_P_PE_319_WT	T cell CD8+	0	0
BTC_0016_Lv_M_PE_320_WT	T cell CD8+	0.061336235	63.02521008
BTC_0017_Lv_M_PE_323_WT	T cell CD8+	0	0
BTC_0017_Lv_P_PE_302_WT	T cell CD8+	0.017022262	26.05042017
BTC_0019_02_LB04-01	T cell CD8+	0.046731448	56.30252101
BTC_0020_02_LB02-01	T cell CD8+	0.0679632	64.70588235
BTC_0022_02_LB02-01	T cell CD8+	0.294905701	97.4789916
BTC_0023_02_LB01-01	T cell CD8+	0.156481279	85.71428571
CAPPT_0015_nn_n_PE_284_WT	T cell CD8+	0.058727878	61.34453782
CAPPT_0016_nn_n_PE_288_WT	T cell CD8+	0.002992417	18.48739496
ESBN_0002_01_LB01-01	T cell CD8+	0	0
ESBN_0003_01_LB01-01	T cell CD8+	0.089887205	72.26890756
ESBN_0006_01_LB01-01	T cell CD8+	0.040480646	47.89915966
ESBN_0008_01_LB01-01	T cell CD8+	0.026679269	35.29411765
ESBN_0011_01_LB01-01	T cell CD8+	0.041907085	50.42016807
ESBN_0013_01_LB01-01	T cell CD8+	0.070551278	65.54621849
ESBN_0014_01_LB01-01	T cell CD8+	0.207270172	94.11764706
ESBN_0015_01_LB01-01	T cell CD8+	0	0
ESBN_0016_01_LB01-01	T cell CD8+	0.130716628	84.03361345
ESBN_0019_01_LB01-01	T cell CD8+	0	0
ESBN_0020_01_LB01-01	T cell CD8+	0	0
ESBN_0021_01_LB01-01	T cell CD8+	0.094994378	73.1092437
ESBN_0022_01_LB01-01	T cell CD8+	0.122158867	81.51260504
ESBN_0025_01_LB01-01	T cell CD8+	0	0
ESBN_0027_01_LB01-01	T cell CD8+	0.020523245	29.41176471
ESBN_0028_01_LB01-01	T cell CD8+	0	0
ESBN_0030_01_LB01-01	T cell CD8+	0.05966201	63.02521008
ESBN_0033_01_LB01-01	T cell CD8+	0.065881615	63.86554622
ESBN_0034_01_LB01-01	T cell CD8+	0.01222853	23.52941176
ESBN_0036_01_LB01-01	T cell CD8+	0.08900888	71.42857143
ESBN_0037_01_LB01-01	T cell CD8+	0.034104861	44.53781513
ESBN_0038_01_LB01-01	T cell CD8+	0.002617569	18.48739496
ESBN_0039_01_LB01-01	T cell CD8+	0.097024451	73.1092437
ESBN_0042_01_LB01-01	T cell CD8+	0.073081642	67.22689076
ESBN_0043_01_LB01-01	T cell CD8+	0.061593277	63.02521008
ESBN_0045_01_LB01-01	T cell CD8+	0	0
ESBN_0048_01_LB01-01	T cell CD8+	0	0
ESBN_0049_01_LB01-01	T cell CD8+	0.040340934	47.89915966
ESBN_0050_01_LB01-01	T cell CD8+	0.018893487	26.8907563
ESBN_0062_01_LB01-01	T cell CD8+	0.030648209	37.81512605
ESBN_0070_01_LB01-01	T cell CD8+	0	0
ESBN_0076_01_LB01-01	T cell CD8+	0	0
ESBN_0082_01_LB01-01	T cell CD8+	0	0
ESBN_0084_01_LB01-01	T cell CD8+	0	0
ESBN_0088_01_LB01-01	T cell CD8+	0	0
ESBN_0098_01_LB01-01	T cell CD8+	0.041277174	47.89915966
ESBN_0099_01_LB01-01	T cell CD8+	0	0
ESBN_0100_01_LB01-01	T cell CD8+	0.107582266	78.1512605
EVRS_0001_nn_n_PE_358_WT	T cell CD8+	0.015847208	78.1512605
EVRS_0002_nn_n_PE_339_WT	T cell CD8+	0.013068582	75.6302521
EVRS_0003_nn_n_PE_345_WT	T cell CD8+	0.040151347	87.39495798
EVRS_0004_nn_n_PE_332_WT	T cell CD8+	0.021619357	79.83193277
EVRS_0005_nn_n_PE_330_WT	T cell CD8+	0	0
EVRS_0006_nn_n_PE_362_WT	T cell CD8+	0	0
EVRS_0007_nn_n_PE_348_WT	T cell CD8+	0	0
EVRS_0008_nn_n_PE_369_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_325_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_349_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_357_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_362_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_367_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_391_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_323_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_330_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_340_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_346_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_471_WT	T cell CD8+	0	0
EVRS_0011_Ly_R_PE_359_WT	T cell CD8+	0.105434189	94.11764706
EVRS_0012_Ly_R_PE_335_WT	T cell CD8+	0.11555673	94.95798319
EVRS_0013_Ly_R_PE_342_WT	T cell CD8+	0.186090403	99.15966387
EVRS_0014_Ly_R_PE_314_WT	T cell CD8+	0.114043825	94.95798319
EVRS_0015_Ly_R_PE_338_WT	T cell CD8+	0.106953659	94.11764706
