sample	project	cell_type	score	ptile
BDWGTS_0158_02_LB02-01	BDWGTS	T cell CD8+	0.023413216	31.09243697
BDWGTS_0198_01_LB01-01	BDWGTS	T cell CD8+	0.016878661	26.05042017
BDWGTS_0218_01_LB01-01	BDWGTS	T cell CD8+	0.020809558	29.41176471
BTC_0013_Lv_P_PE_319_WT	BTC	T cell CD8+	0	0
BTC_0016_Lv_M_PE_320_WT	BTC	T cell CD8+	0.061336235	63.02521008
BTC_0017_Lv_M_PE_323_WT	BTC	T cell CD8+	0	0
BTC_0019_02_LB04-01	BTC	T cell CD8+	0.046731448	56.30252101
BTC_0020_02_LB02-01	BTC	T cell CD8+	0.0679632	64.70588235
BTC_0022_02_LB02-01	BTC	T cell CD8+	0.294905701	97.4789916
BTC_0023_02_LB01-01	BTC	T cell CD8+	0.156481279	85.71428571
MOHCCNO_0001_02_LB02-01	MOHCCNO	T cell CD8+	0.180552467	88.23529412
MOHCCNO_0002_02_LB01-01	MOHCCNO	T cell CD8+	0.130067322	84.03361345
MOHCCNO_0004_02_LB02-01	MOHCCNO	T cell CD8+	0	0
MOHCCNO_0005_02_LB02-01	MOHCCNO	T cell CD8+	0.022330156	30.25210084
MOHCCNO_0008_02_LB02-01	MOHCCNO	T cell CD8+	0.048977242	58.82352941
MOHCCNO_0009_02_LB05-01	MOHCCNO	T cell CD8+	0	0
MOHCCNO_0010_02_LB03-01	MOHCCNO	T cell CD8+	0.017233022	26.05042017
MYC_0001_02_LB02-01	MYC	T cell CD8+	0.029631237	36.97478992
MYC_0002_02_LB02-01	MYC	T cell CD8+	0.007870859	22.68907563
PANX_1234_Pm_M_PE_314_WT	PANX	T cell CD8+	0.014293955	25.21008403
PANX_1248_Lv_M_PE_333_WT	PANX	T cell CD8+	0.028414372	35.29411765
PANX_1288_Pm_M_PE_314_WT	PANX	T cell CD8+	0	0
PANX_1292_Lv_M_PE_296_WT	PANX	T cell CD8+	0.056716208	61.34453782
PANX_1292_Lv_M_PE_325_WT	PANX	T cell CD8+	0.014750803	25.21008403
PANX_1297_Lv_M_PE_310_WT	PANX	T cell CD8+	0	0
PANX_1305_Pa_P_PE_290_WT	PANX	T cell CD8+	0	0
PANX_1307_Lv_M_PE_292_WT	PANX	T cell CD8+	0	0
PANX_1309_Lv_M_PE_313_WT	PANX	T cell CD8+	0.141924579	84.87394958
PANX_1310_Lv_M_PE_284_WT	PANX	T cell CD8+	0	0
PANX_1311_Pa_P_PE_286_WT	PANX	T cell CD8+	0	0
PANX_1312_Lv_M_PE_316_WT	PANX	T cell CD8+	0	0
PANX_1313_Lv_M_PE_315_WT	PANX	T cell CD8+	0.012273052	23.52941176
PANX_1314_Pa_P_PE_303_WT	PANX	T cell CD8+	0	0
PANX_1315_Pm_M_PE_322_WT	PANX	T cell CD8+	0	0
PANX_1316_Lv_M_PE_295_WT	PANX	T cell CD8+	0	0
PANX_1317_Lv_M_PE_321_WT	PANX	T cell CD8+	0	0
PANX_1318_Lv_M_PE_319_WT	PANX	T cell CD8+	0.028157638	35.29411765
PANX_1333_Lv_M_PE_313_WT	PANX	T cell CD8+	0.00901682	23.52941176
PANX_1335_Lv_M_PE_281_WT	PANX	T cell CD8+	0	0
PANX_1339_Lv_M_PE_274_WT	PANX	T cell CD8+	0.018708699	26.8907563
