ENSG00000290825.1	DDX11L2
ENSG00000223972.6	DDX11L1
ENSG00000227232.5	WASH7P
ENSG00000278267.1	MIR6859-1
ENSG00000243485.5	MIR1302-2HG
ENSG00000284332.1	MIR1302-2
ENSG00000237613.2	FAM138A
ENSG00000268020.3	OR4G4P
ENSG00000290826.1	ENSG00000290826
ENSG00000240361.3	OR4G11P
ENSG00000186092.7	OR4F5
ENSG00000238009.6	ENSG00000238009
ENSG00000239945.1	ENSG00000239945
ENSG00000233750.3	CICP27
ENSG00000268903.1	ENSG00000268903
ENSG00000269981.1	ENSG00000269981
ENSG00000239906.1	ENSG00000239906
ENSG00000241860.7	ENSG00000241860
ENSG00000222623.1	RNU6-1100P
ENSG00000241599.1	ENSG00000241599
ENSG00000279928.2	DDX11L17
ENSG00000279457.4	WASH9P
ENSG00000273874.1	MIR6859-2
ENSG00000228463.10	ENSG00000228463
ENSG00000286448.1	ENSG00000286448
ENSG00000236679.2	RPL23AP24
ENSG00000236601.2	ENSG00000236601
ENSG00000290385.1	ENSG00000290385
ENSG00000269732.1	WBP1LP7
ENSG00000284733.2	OR4F29
ENSG00000237094.13	ENSG00000237094
ENSG00000233653.3	CICP7
ENSG00000250575.1	ENSG00000250575
ENSG00000278757.1	U6
ENSG00000230021.10	ENSG00000230021
ENSG00000235146.2	ENSG00000235146
ENSG00000225972.1	MTND1P23
ENSG00000225630.1	MTND2P28
ENSG00000237973.1	MTCO1P12
ENSG00000278791.1	ENSG00000278791
ENSG00000229344.1	MTCO2P12
ENSG00000240409.1	MTATP8P1
ENSG00000248527.1	MTATP6P1
ENSG00000198744.5	MTCO3P12
ENSG00000268663.1	WBP1LP6
ENSG00000284662.2	OR4F16
ENSG00000229376.3	CICP3
ENSG00000291215.1	ENSG00000291215
ENSG00000223181.1	RNU6-1199P
ENSG00000229905.1	ENSG00000229905
ENSG00000228327.6	ENSG00000228327
ENSG00000237491.10	LINC01409
ENSG00000285268.1	ENSG00000285268
ENSG00000290784.1	ENSG00000290784
ENSG00000230092.8	ENSG00000230092
ENSG00000177757.2	FAM87B
ENSG00000225880.6	LINC00115
ENSG00000228794.12	LINC01128
ENSG00000288531.1	ENSG00000288531
ENSG00000230368.2	FAM41C
ENSG00000234711.1	TUBB8P11
ENSG00000283040.1	ENSG00000283040
ENSG00000272438.1	ENSG00000272438
ENSG00000230699.2	ENSG00000230699
ENSG00000241180.1	ENSG00000241180
ENSG00000223764.2	LINC02593
ENSG00000187634.13	SAMD11
ENSG00000188976.11	NOC2L
ENSG00000187961.15	KLHL17
ENSG00000187583.11	PLEKHN1
ENSG00000187642.10	PERM1
ENSG00000272512.1	ENSG00000272512
ENSG00000188290.11	HES4
ENSG00000187608.10	ISG15
ENSG00000231702.2	ENSG00000231702
ENSG00000224969.1	ENSG00000224969
ENSG00000188157.15	AGRN
ENSG00000242590.1	ENSG00000242590
ENSG00000291156.1	ENSG00000291156
ENSG00000273443.1	ENSG00000273443
ENSG00000217801.13	ENSG00000217801
ENSG00000237330.3	RNF223
ENSG00000131591.18	C1orf159
ENSG00000285812.1	ENSG00000285812
ENSG00000223823.1	LINC01342
ENSG00000207730.3	MIR200B
ENSG00000207607.3	MIR200A
ENSG00000198976.1	MIR429
ENSG00000272141.1	ENSG00000272141
ENSG00000205231.1	TTLL10-AS1
ENSG00000162571.14	TTLL10
ENSG00000186891.14	TNFRSF18
ENSG00000186827.12	TNFRSF4
ENSG00000078808.20	SDF4
ENSG00000176022.7	B3GALT6
ENSG00000184163.3	C1QTNF12
ENSG00000260179.1	ENSG00000260179
ENSG00000160087.21	UBE2J2
ENSG00000230415.1	LINC01786
ENSG00000162572.21	SCNN1D
ENSG00000131584.19	ACAP3
ENSG00000278073.1	MIR6726
ENSG00000169972.13	PUSL1
ENSG00000127054.22	INTS11
ENSG00000283712.1	MIR6727
ENSG00000240731.1	ENSG00000240731
ENSG00000224051.7	CPTP
ENSG00000169962.5	TAS1R3
ENSG00000107404.21	DVL1
ENSG00000284372.1	MIR6808
ENSG00000162576.17	MXRA8
ENSG00000175756.14	AURKAIP1
ENSG00000223663.2	NDUFB4P8
ENSG00000221978.13	CCNL2
ENSG00000224870.9	MRPL20-AS1
ENSG00000242485.6	MRPL20
ENSG00000264293.2	RN7SL657P
ENSG00000272455.1	MRPL20-DT
ENSG00000235098.9	ANKRD65
ENSG00000225905.1	ANKRD65-AS1
ENSG00000205116.4	TMEM88B
ENSG00000225285.1	LINC01770
ENSG00000179403.12	VWA1
ENSG00000215915.10	ATAD3C
ENSG00000160072.20	ATAD3B
ENSG00000290916.1	ENSG00000290916
ENSG00000284740.3	ENSG00000284740
ENSG00000197785.14	ATAD3A
ENSG00000205090.10	TMEM240
ENSG00000160075.12	SSU72
ENSG00000215014.5	ENSG00000215014
ENSG00000274481.1	ENSG00000274481
ENSG00000228594.4	FNDC10
ENSG00000286989.1	ENSG00000286989
ENSG00000272106.1	ENSG00000272106
ENSG00000197530.13	MIB2
ENSG00000189409.14	MMP23B
ENSG00000248333.9	CDK11B
ENSG00000272004.1	ENSG00000272004
ENSG00000189339.12	SLC35E2B
ENSG00000269737.2	ENSG00000269737
ENSG00000215914.4	MMP23A
ENSG00000008128.23	CDK11A
ENSG00000268575.1	ENSG00000268575
ENSG00000227775.3	ENSG00000227775
ENSG00000290854.1	ENSG00000290854
ENSG00000215790.9	SLC35E2A
ENSG00000008130.15	NADK
ENSG00000078369.19	GNB1
ENSG00000231050.3	GNB1-DT
ENSG00000169885.10	CALML6
ENSG00000178821.13	TMEM52
ENSG00000142609.20	CFAP74
ENSG00000233542.2	ENSG00000233542
ENSG00000187730.9	GABRD
ENSG00000226969.1	PRKCZ-DT
ENSG00000067606.17	PRKCZ
ENSG00000271806.1	ENSG00000271806
ENSG00000182873.5	PRKCZ-AS1
ENSG00000162585.17	FAAP20
ENSG00000234396.3	ENSG00000234396
ENSG00000157933.11	SKI
ENSG00000287356.1	ENSG00000287356
ENSG00000116151.14	MORN1
ENSG00000272161.1	ENSG00000272161
ENSG00000269896.2	ENSG00000269896
ENSG00000272420.1	ENSG00000272420
ENSG00000157916.20	RER1
ENSG00000157911.11	PEX10
ENSG00000149527.18	PLCH2
ENSG00000224387.1	ENSG00000224387
ENSG00000229393.1	ENSG00000229393
ENSG00000157881.16	PANK4
ENSG00000197921.6	HES5
ENSG00000272449.3	ENSG00000272449
ENSG00000238164.6	TNFRSF14-AS1
ENSG00000157873.18	TNFRSF14
ENSG00000225931.3	ENSG00000225931
ENSG00000228037.1	ENSG00000228037
ENSG00000289610.2	ENSG00000289610
ENSG00000157870.17	PRXL2B
ENSG00000142606.16	MMEL1
ENSG00000237058.1	MMEL1-AS1
ENSG00000215912.13	TTC34
ENSG00000285945.1	ENSG00000285945
ENSG00000283259.1	ENSG00000283259
ENSG00000233234.1	ENSG00000233234
ENSG00000287396.1	ENSG00000287396
ENSG00000231630.1	ENSG00000231630
ENSG00000284745.1	ENSG00000284745
ENSG00000169717.7	ACTRT2
ENSG00000177133.14	PRDM16-DT
ENSG00000142611.17	PRDM16
ENSG00000283572.1	MIR4251
ENSG00000226286.1	ENSG00000226286
ENSG00000279839.1	ENSG00000279839
ENSG00000272235.1	ENSG00000272235
ENSG00000287828.1	ENSG00000287828
ENSG00000286518.1	ENSG00000286518
ENSG00000130762.15	ARHGEF16
ENSG00000272088.1	ENSG00000272088
ENSG00000162591.17	MEGF6
ENSG00000207776.1	MIR551A
ENSG00000238260.3	ENSG00000238260
ENSG00000158109.15	TPRG1L
ENSG00000116213.16	WRAP73
ENSG00000078900.15	TP73
ENSG00000227589.1	TP73-AS3
ENSG00000235131.1	TP73-AS2
ENSG00000227372.12	TP73-AS1
ENSG00000276189.1	ENSG00000276189
ENSG00000162592.10	CCDC27
ENSG00000235169.11	SMIM1
ENSG00000130764.10	LRRC47
ENSG00000266075.2	RN7SL574P
ENSG00000272153.1	ENSG00000272153
ENSG00000116198.14	CEP104
ENSG00000169598.17	DFFB
ENSG00000198912.12	C1orf174
ENSG00000236423.8	LINC01134
ENSG00000233304.7	LINC01346
ENSG00000226374.3	LINC01345
ENSG00000284668.2	LINC02780
ENSG00000284703.1	ENSG00000284703
ENSG00000229280.1	EEF1DP6
ENSG00000235054.4	LINC01777
ENSG00000284694.1	ENSG00000284694
ENSG00000227169.2	ENSG00000227169
ENSG00000232596.3	LINC01646
ENSG00000196581.11	AJAP1
ENSG00000287586.1	ENSG00000287586
ENSG00000284739.1	ENSG00000284739
ENSG00000284674.1	LINC02781
ENSG00000231510.1	LINC02782
ENSG00000284616.1	ENSG00000284616
ENSG00000284692.2	ENSG00000284692
ENSG00000284666.1	ENSG00000284666
ENSG00000260972.1	ENSG00000260972
ENSG00000283356.1	ENSG00000283356
ENSG00000236948.2	ENSG00000236948
ENSG00000264341.1	ENSG00000264341
ENSG00000289893.1	ENSG00000289893
ENSG00000264101.1	MIR4689
ENSG00000131697.18	NPHP4
ENSG00000069424.16	KCNAB2
ENSG00000116254.18	CHD5
ENSG00000285629.1	ENSG00000285629
ENSG00000116251.11	RPL22
ENSG00000226944.1	RNF207-AS1
ENSG00000158286.13	RNF207
ENSG00000116237.16	ICMT
ENSG00000225077.3	ICMT-DT
ENSG00000173673.9	HES3
ENSG00000158292.7	GPR153
ENSG00000097021.21	ACOT7
ENSG00000271746.1	ENSG00000271746
ENSG00000069812.11	HES2
ENSG00000187017.18	ESPN
ENSG00000265392.1	MIR4252
ENSG00000231868.1	ENSG00000231868
ENSG00000215788.11	TNFRSF25
ENSG00000171680.23	PLEKHG5
ENSG00000162408.11	NOL9
ENSG00000253022.1	RNU6-731P
ENSG00000229519.2	ENSG00000229519
ENSG00000173662.21	TAS1R1
ENSG00000204859.13	ZBTB48
ENSG00000162413.17	KLHL21
ENSG00000116273.6	PHF13
ENSG00000041988.16	THAP3
ENSG00000007923.17	DNAJC11
ENSG00000228750.7	LINC01672
ENSG00000284744.1	ENSG00000284744
ENSG00000237436.1	CAMTA1-DT
ENSG00000171735.21	CAMTA1
ENSG00000227950.1	ENSG00000227950
ENSG00000237365.1	CAMTA1-AS3
ENSG00000207056.1	RNU1-8P
ENSG00000237402.1	CAMTA1-IT1
ENSG00000237728.2	CAMTA1-AS2
ENSG00000225126.1	CAMTA1-AS1
ENSG00000270171.1	ENSG00000270171
ENSG00000270035.1	ENSG00000270035
ENSG00000269978.1	ENSG00000269978
ENSG00000049245.13	VAMP3
ENSG00000269925.1	ENSG00000269925
ENSG00000049246.15	PER3
ENSG00000236266.1	ENSG00000236266
ENSG00000049247.14	UTS2
ENSG00000049249.10	TNFRSF9
ENSG00000270330.1	ENSG00000270330
ENSG00000116288.13	PARK7
ENSG00000200344.1	Y_RNA
ENSG00000284747.1	ENSG00000284747
ENSG00000284716.1	ENSG00000284716
ENSG00000116285.13	ERRFI1
ENSG00000238290.1	ERRFI1-DT
ENSG00000232848.1	RPL7AP18
ENSG00000229305.1	ENSG00000229305
ENSG00000288816.1	ENSG00000288816
ENSG00000227634.3	LINC01714
ENSG00000200975.1	RNU1-7P
ENSG00000233645.1	ENSG00000233645
ENSG00000251977.1	RNU6-991P
ENSG00000162426.16	SLC45A1
ENSG00000252254.1	Y_RNA
ENSG00000142599.20	RERE
ENSG00000232912.6	RERE-AS1
ENSG00000221083.1	ENSG00000221083
ENSG00000270282.1	ENSG00000270282
ENSG00000234619.1	RPL7P11
ENSG00000224315.2	RPL7P7
ENSG00000222511.2	Y_RNA
