Hugo_Symbol	100-PM-064_LCM3
NADK	-1
GNB1	-1
TNFRSF14	-1
PRDM16	-1
RPL22	-1
CAMTA1	-1
ERRFI1	-1
PIK3CD	-1
MTOR	-1
MAD2L2	-1
SPEN	-1
SDHB	-1
PAX7	-1
CDC42	-1
ID3	-1
MDS2	-1
ARID1A	-1
MAP3K6	-1
SESN2	-1
LCK	-1
HDAC1	-1
SFPQ	-1
AGO1	-1
STK40	-1
CSF3R	-1
RRAGC	-1
MYCL	-1
MPL	-1
MUTYH	-1
PIK3R3	-1
RAD54L	-1
MKNK1	-1
TAL1	-1
STIL	-1
FAF1	-1
CDKN2C	-1
EPS15	-1
JUN	-1
JAK1	-1
NEGR1	-1
FUBP1	-1
BCL10	-1
RPL5	-1
CSF1	-1
RBM15	-1
TRIM33	-1
NRAS	-1
CSDE1	-1
ATP1A1	-1
CD58	-1
VTCN1	-1
HSD3B1	-1
NOTCH2	-1
BCL9	1
PDE4DIP	1
APH1A	1
MCL1	1
ARNT	1
SETDB1	1
MLLT11	1
TPM3	1
CKS1B	1
MUC1	1
YY1AP1	1
RIT1	1
LMNA	1
MEF2D	1
PRCC	1
NTRK1	1
FCRL4	1
NCSTN	1
SDHC	1
FCGR2B	1
DDR2	1
NUF2	1
PBX1	1
PRRX1	1
ABL2	1
TPR	1
CDC73	1
PTPRC	1
ELF3	1
BTG2	1
PIK3C2B	1
MDM4	1
ELK4	1
SLC45A3	1
IKBKE	1
IL10	1
TRAF5	1
PARP1	1
PGBD5	1
SPRTN	1
ARID4B	0
FH	0
AKT3	0
SMYD3	0
LARP4B	0
KLF6	0
GATA3	0
MLLT10	0
ABI1	1
KIF5B	1
RET	0
RASGEF1A	0
NCOA4	0
DKK1	0
CCDC6	0
ARID5B	0
TET1	0
PRF1	0
KAT6B	1
NUTM2B	1
BMPR1A	1
NUTM2A	1
PTEN	1
FAS	1
TLL2	1
TLX1	1
NFKB2	1
SUFU	1
CYP17A1	1
NT5C2	1
PDCD11	1
SMC3	1
SHOC2	1
TCF7L2	1
FGFR2	1
MKI67	0
HRAS	-1
IGF2	-1
NUP98	-1
LMO1	-1
CTR9	-1
DKK3	-1
RRAS2	-1
MYOD1	-1
FANCF	-1
WT1	-1
LMO2	-1
SLC1A2	-1
EXT2	-1
CREB3L1	-1
DDB2	-1
KBTBD4	-1
APLNR	-1
CLP1	-1
MPEG1	1
SDHAF2	1
RPS6KA4	1
MEN1	1
PC	1
RPS6KB2	1
LRP5	1
CCND1	1
FGF19	1
FGF4	1
FGF3	1
NUMA1	0
INPPL1	0
EMSY	0
PAK1	0
GAB2	0
PICALM	0
EED	0
SESN3	0
MAML2	0
PGR	0
YAP1	0
BIRC3	0
ATM	0
DDX10	0
POU2AF1	0
SDHD	0
ZBTB16	0
PAFAH1B2	0
PCSK7	0
KMT2A	0
DDX6	0
BCL9L	0
CBL	0
ARHGEF12	0
CHEK1	0
ETS1	0
FLI1	0
KCNJ5	0
KDM5A	-1
RAD52	-1
ERC1	-1
CCND2	-1
FGF23	-1
FGF6	-1
CHD4	-1
ZNF384	-1
PTPN6	-1
ETV6	-1
LRP6	-1
CDKN1B	-1
PTPRO	1
PIK3C2G	-1
RECQL	-1
ETNK1	-1
KRAS	0
PPFIBP1	1
LRRK2	0
ARID2	1
HDAC7	1
COL2A1	1
KMT2D	1
SMARCD1	1
ATF1	1
ACVR1B	1
HOXC13	1
HOXC11	1
NFE2	1
ERBB3	1
STAT2	1
NACA	1
NAB2	1
STAT6	1
GLI1	1
DDIT3	1
MBD6	1
CDK4	1
LRIG3	1
WIF1	1
HMGA2	1
MDM2	1
FRS2	1
PTPRB	1
BTG1	-1
SOCS2	-1
IGF1	-1
SH2B3	-1
ATXN2	-1
PTPN11	-1
DTX1	-1
TBX3	-1
KSR2	-1
RAB35	-1
MSI1	-1
HNF1A	-1
KDM2B	-1
SETD1B	-1
BCL7A	-1
CLIP1	-1
KMT5A	1
NCOR2	-1
EP400	-1
POLE	-1
ZMYM2	0
LATS2	0
CDK8	0
CDX2	0
FLT3	0
FLT1	0
BRCA2	0
PDS5B	0
FOXO1	0
SERP2	0
LCP1	0
RB1	0
CYSLTR2	0
SETDB2	0
DIS3	0
KLF5	0
FGF14	0
ERCC5	0
IRS2	0
CUL4A	0
CCNB1IP1	1
PARP2	1
AJUBA	1
BCL2L2	1
PRKD1	1
NFKBIA	1
NKX2-1	1
FOXA1	1
NIN	1
KTN1	1
ARID4A	1
SIX1	1
HIF1A	1
MAX	1
GPHN	1
RAD51B	1
ZFP36L1	1
ELMSAN1	1
TSHR	1
TRIP11	1
GOLGA5	1
DICER1	1
TCL1B	1
TCL1A	1
BCL11B	1
