Hugo_Symbol	sample1
WBP1LP6	0.666666666666667
FNDC10	1
SKI	1
SLC2A7	1
ESPNP	0.5
TEX46	1
ARID1A	1
GPR3	1
SRSF4	1
RIMS3	1
CYP4B1	1
FOXD2	1
NDUFS5P3	1
ZYG11B	1
RPL23AP85	1
NEGR1	1
PTGFR	1
HNRNPA1P64	1
ADGRL2	0.5
LMO4	1
LINC01349	1
CDK4P1	1
SEPTIN2P1	1
NTNG1	1
NBPF26	1
RNVU1-19	1
NBPF25P	0.5
RNVU1-29	0.5
VPS72	0.5
LCE4A	0.5
SPRR2G	0.5
HAX1	0.5
ARHGEF11	0.5
CD1C	0.5
OR10K2	0.5
OR10X1	0.5
SPTA1	0.5
PYHIN5P	0.5
NHLH1	0.5
TMCO1	0.5
MAEL	0.5
SFT2D2	0.5
ENTR1P2	0.5
COX5BP8	0.5
NMNAT2	0.5
HNRNPA1P46	0.5
TNNI1	0.5
CRIP1P3	0.5
TMEM183A	0.5
DYRK3	0.5
MIR29B2CHG	0.5
FLVCR1	0.5
LYPLAL1	0.5
LEFTY2	0.5
LIN9	0.5
PRSS38	0.5
LYST	0.5
NLRP3	0.5
GCSAML	0.5
OR2M7	0.5
OR2T2	0.5
SH3BP5L	0.5
PITRM1	0.5
RPL32P23	0.5
LINC02642	0.5
OR7E110P	0.5
MALRD1	0.5
FAM238C	0.5
SVIL	0.5
PARD3	0.5
RET	0.5
AGAP14P	0.5
ASAH2B	0.5
MIR3924	0.5
MRPS35P3	0.5
SFTPA3P	0.5
TMEM254	0.5
NIP7P1	0.5
RPL17P34	0.5
PAX2	0.5
SORCS1	0.5
TAF9BP2	0.5
FGFR2	0.5
EDRF1-DT	0.5
MKI67	0.5
C10orf143	0.666666666666667
JAKMIP3	0.666666666666667
SCART1	0.666666666666667
NLRP6	1
TALDO1	1
KRTAP5-4	1
LSP1	1
ASCL2	1
SSU72P6	1
C11orf40	1
OR52E3P	1
OR52H1	1
LMO1	1
SAA3P	1
LINC01495	1
HIPK3	1
OR4C4P	1
OR4A11P	1
OR4A15	1
OR4X7P	1
OR5T1	1
OR8K1	1
OR2AH1P	1
OR9G2P	1
OR5AZ1P	1
MS4A4A	0.5
SLC22A25	0.5
PRDX5	0.5
LINC02724	0.5
CABP2	0.5
PPFIA1	0.5
FOLR3	0.5
FCHSD2	0.5
MRPL48	0.5
RN7SKP297	0.5
SYTL2	0.5
NOX4	0.5
JRKL	0.5
GUCY1A2	0.5
CWF19L2	0.5
ATM	0.5
EXPH5	0.5
C11orf52	0.5
DIXDC1	0.5
PIH1D2	0.5
BUD13	0.5
TMEM225	0.5
OR8G2P	0.5
KIRREL3	0.5
LINC02714	0.5
CCDC77	0.6
KCNA5	1
AICDA	1
RIMKLB	1
KLRD1	1
KLRC2	0.666666666666667
TAS2R46	1
TAS2R64P	1
TAS2R43	1
CREBL2	1
SLCO1B1	1
SLCO1A2	1
KRAS	0.5
DDX23	0.5
TUBA1B	0.5
PRPH	0.5
FAIM2	0.5
DIP2B	0.5
KRT89P	0.5
LRP1	0.5
DPY19L2	0.5
LINC02454	0.5
TPH2	0.5
KRR1	0.5
RPL7P43	0.5
SLC6A15	0.5
MGAT4C	0.5
RN7SL88P	1
RMST	1
NUAK1	1
FOXN4	1
UBA52P7	1
TAOK3	1
DDX51	1
ZNF268	1
CNN2P12	0.5
RNU6-76P	0.5
LINC00408	0.5
IPPKP1	0.5
TPTE2P6	0.5
NPM1P4	0.5
DCLK1	0.5
TRPC4	0.5
TPTE2P5	0.5
RN7SL597P	0.5
PPIAP25	0.5
LINC02335	0.5
LINC00376	0.5
ZDHHC20P4	0.5
RPL21P108	0.5
RPL21P111	0.5
VENTXP2	0.5
TXNL1P1	0.5
TGDS	0.5
METTL21C	0.5
BIVM-ERCC5	0.5
HCFC2P1	0.5
COL4A2	0.5
SOX1-OT	0.5
LINC01043	0.5
LINC02297	0.666666666666667
RPL22P20	0.666666666666667
MMP14	0.5
CEBPE	0.5
PRKD1	0.5
SCFD1	0.5
COCH	0.5
LINC00517	0.5
MIA2	0.5
ATP5F1CP1	0.5
TBPL2	0.5
SIX1	0.5
ZBTB1	0.5
ABCD4	0.5
RPS2P2	0.5
LINC01467	0.5
PPP4R3A	0.5
CHGA	0.5
RN7SL523P	0.5
SLC25A47	0.5
LINC00239	0.5
IGHG1	0.5
IGHV1-68	0.5
CHEK2P2	0.75
OR4Q1P	0.75
MAGEL2	0.5
SNRPN	0.5
ATP10A	0.5
LINC00929	0.5
GABRA5	0.5
GOLGA8Q	0.5
DNM1P31	0.5
TMCO5B	0.5
HNRNPLP2	0.5
GABPB1-AS1	0.5
C15orf65	0.5
EWSAT1	0.5
RNU6-745P	0.5
LRRC49	0.5
TBC1D21	0.5
SCAMP2	0.5
NEIL1	0.5
DNM1P49	0.5
TSPAN3	0.5
WDR61	0.5
ADAMTS7	0.5
CTSH	0.5
UBE2Q2P6	0.5
LINC00052	0.5
CRTC3	0.5
SPATA8	0.5
RN7SKP181	0.5
LINC02254	0.5
CACNA1H	0.5
TPSAB1	0.5
HAGH	0.5
SYNGR3	0.5
PKD1	0.5
MMP25	0.5
RBFOX1	0.5
MIR8065	0.5
RNU6-633P	0.5
NPIPA2	0.5
NPIPA9	0.6
SCNN1B	0.5
