Hugo_Symbol	100-PM-064_LCM3
DDX11L1	-0.495
WASH7P	-0.495
MIR6859-1	-0.495
MIR1302-2HG	-0.495
MIR1302-2	-0.495
FAM138A	-0.495
OR4G4P	-0.495
OR4G11P	-0.495
OR4F5	-0.495
AL627309.1	-0.495
AL627309.3	-0.495
CICP27	-0.495
AL627309.6	-0.495
AL627309.7	-0.495
AL627309.2	-0.495
AL627309.5	-0.495
RNU6-1100P	-0.495
AL627309.4	-0.495
FO538757.1	-0.495
WASH9P	-0.495
MIR6859-2	-0.495
AP006222.1	-0.495
AP006222.2	-0.495
RPL23AP24	-0.495
AL732372.1	-0.495
AL732372.2	-0.495
WBP1LP7	-0.495
OR4F29	-0.495
CICP7	-0.495
AL732372.3	-0.495
FO681485.1	-0.495
AL669831.3	-0.495
AC114498.1	-0.495
MTND1P23	-0.495
MTND2P28	-0.495
MTCO1P12	-0.495
AC114498.2	-0.495
MTCO2P12	-0.495
MTATP8P1	-0.495
MTATP6P1	-0.495
MTCO3P12	-0.495
WBP1LP6	-0.495
OR4F16	-0.495
CICP3	-0.495
AL669831.1	-0.495
RNU6-1199P	-0.495
AL669831.2	-0.495
LINC01409	-0.495
AL669831.6	-0.495
AL669831.4	-0.495
FAM87B	-0.495
LINC01128	-0.495
LINC00115	-0.495
AL669831.7	-0.495
FAM41C	-0.495
TUBB8P11	-0.495
AL669831.5	-0.495
AL645608.6	-0.5511
AL645608.2	-0.5511
AL645608.4	-0.5511
LINC02593	-0.5511
SAMD11	-0.5511
NOC2L	-0.5511
KLHL17	-0.5511
PLEKHN1	-0.5511
PERM1	-0.5511
AL645608.7	-0.5511
HES4	-0.5511
ISG15	-0.5511
AL645608.3	-0.5511
AL645608.1	-0.5511
AGRN	-0.5511
AL645608.5	-0.5511
AL390719.1	-0.5511
AL645608.8	-0.5511
RNF223	-0.5511
C1orf159	-0.5511
AL390719.3	-0.5511
LINC01342	-0.5511
MIR200B	-0.5511
MIR200A	-0.5511
MIR429	-0.5511
AL390719.2	-0.5511
TTLL10-AS1	-0.5511
TTLL10	-0.5511
TNFRSF18	-0.5511
TNFRSF4	-0.5511
SDF4	-0.5511
B3GALT6	-0.5511
C1QTNF12	-0.5511
AL162741.1	-0.5511
UBE2J2	-0.5511
LINC01786	-0.5511
SCNN1D	-0.5511
ACAP3	-0.5511
MIR6726	-0.5511
PUSL1	-0.5511
INTS11	-0.5511
MIR6727	-0.5511
AL139287.1	-0.5511
CPTP	-0.5511
TAS1R3	-0.5511
DVL1	-0.5511
MIR6808	-0.5511
MXRA8	-0.5511
AURKAIP1	-0.5511
NDUFB4P8	-0.5511
CCNL2	-0.5511
MRPL20-AS1	-0.5511
MRPL20	-0.5511
RN7SL657P	-0.5511
AL391244.2	-0.5511
ANKRD65	-0.5511
AL391244.1	-0.5511
TMEM88B	-0.5511
LINC01770	-0.5511
VWA1	-0.5511
ATAD3C	-0.5511
ATAD3B	-0.5511
AL645728.2	-0.5511
ATAD3A	-0.5511
TMEM240	-0.5511
SSU72	-0.5511
AL645728.1	-0.5511
AL691432.3	-0.5511
FNDC10	-0.5511
AL691432.4	-0.5511
AL691432.2	-0.5511
MIB2	-0.5511
MMP23B	-0.5511
CDK11B	-0.5511
FO704657.1	-0.5511
SLC35E2B	-0.5511
AL691432.1	-0.5511
MMP23A	-0.5511
CDK11A	-0.5511
AL031282.2	-0.5511
AL031282.1	-0.5511
SLC35E2A	-0.5511
NADK	-0.5511
GNB1	-0.5511
AL109917.1	-0.5511
CALML6	-0.5511
TMEM52	-0.5511
CFAP74	-0.5511
AL391845.2	-0.5511
GABRD	-0.5511
AL391845.1	0
PRKCZ	-0.706
AL590822.2	-0.5436
PRKCZ-AS1	-0.5257
FAAP20	-0.5257
AL590822.1	-0.5257
SKI	-0.5257
AL590822.3	-0.5257
MORN1	-0.5257
AL589739.1	-0.5257
AL513477.1	-0.5257
AL513477.2	-0.5257
RER1	-0.5646
PEX10	-0.5646
PLCH2	-0.5646
AL139246.1	-0.5646
AL139246.4	-0.5646
PANK4	-0.6559
HES5	-0.6559
AL139246.5	-0.6559
TNFRSF14-AS1	-0.6559
TNFRSF14	-0.6559
AL139246.2	-0.6559
AL139246.3	-0.6559
PRXL2B	-0.6559
MMEL1	-0.6559
MMEL1-AS1	-0.6559
TTC34	-0.6559
AC242022.2	-0.6559
AC242022.1	-0.6559
AL592464.2	-0.5976
AL592464.3	-0.5976
AL592464.1	-0.5976
AL589702.1	-0.5976
ACTRT2	-0.5976
PRDM16-DT	-0.5976
PRDM16	-0.5976
MIR4251	-0.5976
AL008733.1	-0.5976
AL512383.1	-0.5976
AL590438.1	-0.5976
AL354743.2	-0.5976
AL354743.1	-0.5976
ARHGEF16	-0.5976
AL512413.1	-0.5976
MEGF6	-0.5976
MIR551A	-0.5976
AL513320.1	-0.5866
TPRG1L	-0.5866
WRAP73	-0.5866
TP73	-0.6016
AL136528.1	-0.5866
AL136528.2	-0.6016
TP73-AS1	-0.6016
AL136528.3	-0.6016
CCDC27	-0.6016
SMIM1	-0.6016
LRRC47	-0.6016
RN7SL574P	-0.6016
AL365330.1	-0.6016
CEP104	-0.6016
DFFB	-0.6016
C1orf174	-0.6016
LINC01134	-0.6016
LINC01346	-0.6016
LINC01345	-0.6016
LINC02780	-0.6016
AL805961.1	-0.6016
EEF1DP6	-0.6285
LINC01777	-0.733
AL355602.1	-0.733
Z98747.1	-0.733
LINC01646	-0.733
AJAP1	-0.6601
Z98886.1	-0.6601
BX005132.1	-0.6389
LINC02781	-0.6389
LINC02782	-0.6389
AL139823.1	-0.5968
Z98259.3	-0.652
Z98259.2	-0.652
Z98259.1	-0.652
Z97988.2	-0.652
AL365255.1	-0.652
Z97988.1	-0.652
MIR4689	-0.5789
NPHP4	-0.5789
KCNAB2	-0.579
CHD5	-0.7017
AL031847.2	-0.5455
RPL22	-0.5455
AL031847.1	-0.5455
RNF207	-0.5455
ICMT	-0.5455
LINC00337	-0.5455
HES3	-0.5455
GPR153	-0.5455
ACOT7	-0.5455
AL031848.2	-0.5455
HES2	-0.5455
ESPN	-0.5455
MIR4252	-0.5455
AL031848.1	-0.5455
TNFRSF25	-0.5455
PLEKHG5	-0.5455
NOL9	-0.5455
RNU6-731P	-0.5455
AL591866.1	-0.5455
TAS1R1	-0.5566
ZBTB48	-0.5566
KLHL21	-0.5566
PHF13	-0.5566
THAP3	-0.5566
DNAJC11	-0.5566
LINC01672	-0.5201
AL591163.1	-0.5201
CAMTA1-DT	-0.5201
CAMTA1	-0.6133
AL590128.1	-0.5201
AL512330.1	-0.6133
RNU1-8P	-0.6133
CAMTA1-IT1	-0.6133
CAMTA1-AS2	-0.6133
CAMTA1-AS1	-0.6133
AL359881.3	-0.6133
AL359881.2	-0.6133
AL359881.1	-0.6133
VAMP3	-0.6133
Z98884.2	-0.6133
PER3	-0.6133
Z98884.1	-0.6133
UTS2	-0.6133
TNFRSF9	-0.6133
AL009183.1	-0.6133
PARK7	-0.6133
AL034417.1	-0.6133
AL034417.5	-0.6133
AL034417.4	-0.6133
ERRFI1	-0.6133
AL034417.3	-0.6133
AL034417.2	-0.6133
AL358876.1	-0.6133
LINC01714	-0.6133
RNU1-7P	-0.6133
AL358876.2	-0.6133
RNU6-991P	-0.6133
SLC45A1	-0.5582
AL356072.1	-0.5582
RERE	-0.5582
RERE-AS1	-0.5582
AL096855.1	0
AL096855.2	0
RPL7P11	-0.5468
RPL7P7	-0.5468
AL357552.1	-0.5468
AL357552.2	-0.5468
