ID	chrom	loc.start	loc.end	num.mark	seg.mean
100-PM-064_LCM3	chr1	13868	890743	6802	-0.495048381025934
100-PM-064_LCM3	chr1	892786	2046191	23524	-0.551137723443216
100-PM-064_LCM3	chr1	2051689	2092817	922	-0.706044460482202
100-PM-064_LCM3	chr1	2094609	2148086	1126	-0.543552153464963
100-PM-064_LCM3	chr1	2181827	2398222	4607	-0.525738427671825
100-PM-064_LCM3	chr1	2398563	2522373	2659	-0.564556638205251
100-PM-064_LCM3	chr1	2522709	2777030	4738	-0.655922652963869
100-PM-064_LCM3	chr1	2801460	3578896	16540	-0.597587802631766
100-PM-064_LCM3	chr1	3583378	3588316	136	-0.477459826052536
100-PM-064_LCM3	chr1	3593106	3687362	1947	-0.586580025673135
100-PM-064_LCM3	chr1	3693767	3694987	41	-0.191224727101761
100-PM-064_LCM3	chr1	3696503	4135895	9610	-0.601619758255763
100-PM-064_LCM3	chr1	4136131	4136816	32	-0.501070028072671
100-PM-064_LCM3	chr1	4136975	4301475	3543	-0.628544470072041
100-PM-064_LCM3	chr1	4302974	4303149	15	-0.396664250865705
100-PM-064_LCM3	chr1	4303565	4382635	1696	-0.623809489526588
100-PM-064_LCM3	chr1	4384646	4632575	5391	-0.732976643528498
100-PM-064_LCM3	chr1	4632582	4633051	26	-0.92182822625924
100-PM-064_LCM3	chr1	4633264	4934057	6382	-0.66010879828373
100-PM-064_LCM3	chr1	4939443	4939667	22	-0.879715471916892
100-PM-064_LCM3	chr1	4940526	5285973	7459	-0.638932306746339
100-PM-064_LCM3	chr1	5286375	5300894	374	-0.794109902151036
100-PM-064_LCM3	chr1	5304019	5367040	1374	-0.596756827171873
100-PM-064_LCM3	chr1	5371747	5666331	6220	-0.651985228357833
100-PM-064_LCM3	chr1	5667109	5676169	484	-0.584756990419786
100-PM-064_LCM3	chr1	5676622	5744518	1507	-0.564799883045023
100-PM-064_LCM3	chr1	5744814	6003595	5643	-0.578896346579673
100-PM-064_LCM3	chr1	6004964	6006706	38	-0.53382333738712
100-PM-064_LCM3	chr1	6006716	6103865	2068	-0.579042624406944
100-PM-064_LCM3	chr1	6107549	6156835	1068	-0.701735585586067
100-PM-064_LCM3	chr1	6160902	6563439	8481	-0.545513687368283
100-PM-064_LCM3	chr1	6567634	6704145	2906	-0.556587754002291
100-PM-064_LCM3	chr1	6706493	6941018	5006	-0.520056848753057
100-PM-064_LCM3	chr1	6941248	8310008	28981	-0.613255416689392
100-PM-064_LCM3	chr1	8322227	8502074	3683	-0.55818959469608
100-PM-064_LCM3	chr1	8529706	9843490	27357	-0.54684724132097
100-PM-064_LCM3	chr1	9941181	9968600	573	-0.483454577317422
100-PM-064_LCM3	chr1	9977588	10463873	10363	-0.58025350561065
100-PM-064_LCM3	chr1	10464105	10838482	7955	-0.56940145596378
100-PM-064_LCM3	chr1	10840180	11037177	4362	-0.520347946869445
