grch37Isoform	grch37RefSeq	grch38Isoform	grch38RefSeq	entrezGeneId	hugoSymbol	oncogene	highestSensitiveLevel	highestResistanceLevel	summary	background	tsg
ENST00000373993		ENST00000373993		29974	A1CF	True			A1CF, an RNA-binding protein of the APOBEC1 complex, is infrequently altered in cancer.	A1CF encodes for an RNA-binding protein that functions as a complementation subunit for the APOBEC1 editosome (PMID: 12881431). APOBEC1 is a key regulator of lipid metabolism through cytidine-to-uridine (C-to-U) editing of apolipoprotein (APOB) mRNA (PMID: 25585043, 20890106). A1CF regulates the alternative splicing of various metabolic enzymes, influencing gluconeogenesis and lipid synthesis (PMID: 31597092, 32786677). Overexpression of A1CF in various cancer cell lines and models induces cellular proliferation migration and invasion, suggesting that A1CF functions predominantly as an oncogene (PMID: 32818382, 33445170, 31186064). A1CF amplification has been identified in various cancers, including colorectal cancer and hepatocellular carcinoma (PMID: 9797364, 33445170).	False
ENST00000265724	NM_000927.4	ENST00000622132	NM_001348946.2	5243	ABCB1	True			ABCB1, an ATP-binding cassette transporter, is altered through amplification in various cancers.	ABCB1, a member of the ATP-binding cassette (ABC) transporter family, encodes for a membrane-associated glycoprotein that functions as an efflux pump that transports endogenous molecules and xenobiotics across the blood-brain barrier (PMID: 990323, 2563168, 7910522). ABCB1, also called multi-drug resistance protein 1 (MRD1), has been identified to confer drug resistance when overexpressed in various cancers (PMID: 18056183, 1968964, 7946563, 11294418). As an efflux pump, ABCB1 can reduce the effectiveness of chemotherapies, such as doxorubicin, cisplatin and 5-fluorouracil, by reducing intracellular drug concentration (PMID: 32525624, 34031441, 28340578). ABCB1 overexpression has been identified in various cancers demonstrating chemotherapy resistance, including pancreatic cancer, breast cancer and ovarian cancer (PMID: 38163893, 38020048, 27415012). Preclinical studies demonstrate inhibition of ABCB1 can restore sensitivity to chemotherapeutic drugs in various cancer models (PMID: 36674503, 38367548).	False
ENST00000285238	NM_003786.3	ENST00000285238	NM_003786.4	8714	ABCC3	True			ABCC3, an ATP-dependent transporter, is altered by amplification in various cancers.	ABCC3, a member of the ATP-dependent transporter of the ATP-binding cassette family, encodes for a transporter protein that functions predominantly in the transport of various substrates across the cellular membrane (PMID: 15083066). ABCC3 transports a wide variety of substrates, including exogenous drugs and endogenous compounds, and is involved in multiple physiological processes (PMID: 37485728). Due to its role in drug transportation, ABCC3 is a member of the multidrug resistance-associated protein subfamily and has been associated with both poor treatment response and prognosis in different types of cancer (PMID: 11250868, 29464551). Overexpression of ABCC3 in various cancer cell lines and models induces cellular proliferation and drug resistance, suggesting that ABCC3 functions predominantly as an oncogene (PMID: 26733163, 24176985, 27709738, 31053501). ABCC3 amplification has been identified in various cancers, including breast cancer and pancreatic cancer (PMID: 22585709, 18593940, 31053501).	False
ENST00000318560	NM_005157.4	ENST00000318560	NM_005157.4	25	ABL1	True	1	R1	ABL1, a tyrosine kinase, is frequently altered by chromosomal translocations in leukemia.	ABL1 (also ABL) is a non-receptor tyrosine kinase with ubiquitous cellular expression. ABL is located both in the cytoplasm and nucleus and can be activated by growth factor receptors, cellular kinases or DNA damage (PMID: 24421390, 1591775). In response to extrinsic ligand stimulation, ABL signaling regulates cellular proliferation, differentiation, apoptosis, and migration (PMID: 7651539, 7512450). ABL has additional cellular roles including regulation of actin polymerization, vascular development, transcription, and T cell maturation (PMID: 24421390). In chronic myelogenous leukemia (CML) and Philadelphia chromosome-positive acute lymphocytic leukemia (Ph+ ALL), translocations between the ABL and BCR genes result in the driver fusion protein BCR-ABL (PMID: 3460176, 2825022). The BCR-ABL fusion protein is a constitutively activated oncogenic tyrosine kinase that causes ligand-independent activation of signaling pathways in hematopoietic cells (PMID: 3460176, 2825022). The BCR-ABL fusion protein results in loss of auto-inhibition of ABL leading to activation of the kinase (PMID: 8246975). Alternative ABL1 translocations are also observed in myeloid disease (PMID: 9695962). Small molecule inhibitors of BCR-ABL, imatinib and dasatinib, have been developed and are FDA-approved for CML and Ph+ALL (PMID:11870241, 21931113). Mutations in the ABL kinase domain lead to resistance to these treatments and determine sensitivity to other second-generation inhibitors (PMID: 15256671).	False
ENST00000502732	NM_007314.3	ENST00000502732	NM_007314.3	27	ABL2	True			ABL2, a tyrosine kinase, is altered by chromosomal rearrangement in acute lymphoblastic leukemia.	ABL2 is a non-receptor tyrosine kinase that is a member of the ABL protein family (PMID: 26645050). ABL2 localizes to actin protrusions and mediates the formation and stabilization of actin filaments in coordination with cortactin (PMID: 30256707). β1 integrins signal via ABL2 pathways to control several cellular processes including neuronal stability, cell adhesion, cell migration, and invasion (PMID: 30256707, 25694433, 23365224). Phosphorylation of ABL2 by receptor tyrosine kinases and SRC family kinases results in ABL2 activation, autophosphorylation and subsequent activation of downstream signaling molecules, such as the transcription factor STAT3 (PMID: 21892207). ABL2 is localized in the cytoplasm and is overexpressed in a variety of solid tumors, resulting in enhanced cellular proliferation, invasion, and metabolic changes (PMID: 26645050). Recurrent ABL2 fusion proteins are found in patients with acute lymphoblastic leukemias and gangliogliomas (PMID: 29507076, 29880043, 25098428, 10706884). ABL2 fusions result in increased ABL2-mediated signaling, suggesting that ABL2 functions as an oncogene (PMID: 25207766). ABL-targeted small molecule kinase inhibitors may be efficacious in cancers with ABL2 positive rearrangements (PMID: 29464092, 19451690, 25207766).	False
ENST00000321945	NM_139076.2	ENST00000321945	NM_139076.2	84142	ABRAXAS1	False			ABRAXAS1, a tumor suppressor and DNA repair protein, is recurrently altered by mutation and deletion in various cancer types.	The ABRAXAS1 is a DNA repair protein that mediates recruitment of BRCA1 to DNA double-strand breaks (DSBs) for DNA damage checkpoint regulation and DNA damage repair through direct binding to BRCA1. The ABRAXAS1-BRCA1 complex plays an important role in tumor suppression. ABRAXAS1 copy loss and somatic mutations have been observed in multiple human cancers, including endometrial, colon, lung, liver, kidney cancers, and in leukemia, with the highest mutation rate found in endometrial cancer (2.5%) (PMID: 25066119). A novel germ line mutation in Abraxas which abrogates BRCA1-dependent DNA repair function has been identified and shown to increases familial breast cancer susceptibility (PMID: 22357538).	True
ENST00000272928	NM_020311	ENST00000272928	NM_020311	57007	ACKR3	False			ACKR3, a chemokine receptor, is infrequently altered in cancer.	ACKR3, also known as CXCR7, encodes for the atypical chemokine scavenger receptor specific for stromal-derived factors CXCL12 and CXCL11 (PMID: 16107333, 16940167). The ACKR3-CXCL12 signaling axis promotes cancer cell survival, migration, adhesion, angiogenesis and metastasis from ERK activation through MAPK signaling (PMID: 16940167, 20018651). As a scavenger receptor, ACKR3 is responsible for creating a CXCL12 gradient and influences cell migration and weakens CXCR4 activity through ACKR-CXCL12 internalization (PMID: 18267076). The oncogenic and tumor suppressive role of ACKR3 is likely tissue-type specific. Overexpression and silencing of ACKR3 in breast cancer and lung cancer cell lines and mouse models demonstrate tumorigenesis and cell survival (PMID: 17898181). In contrast, ACKR3 activation in neuroblastoma and colon cancer cell lines demonstrates suppression of tumor growth, cell growth and migration (PMID: 22916293, 24255072). Amplification of ACKR3 has been identified in various cancers, including breast cancer and hepatocellular carcinoma (PMID: 27572688, 26912435). Downregulation of ACKR3 has been identified in undifferentiated neuroblastoma (PMID: 22916293). Loss of ACKR3 in non-small cell lung cancer cell models has demonstrated attenuation of EGFR tyrosine kinase inhibitor resistance through inhibition of the MAPK-ERK signaling pathway (PMID: 31273063).	False
ENST00000331925	NM_001199954.1	ENST00000573283	NM_001199954.1	71	ACTG1	False			ACTG1, a cytoskeletal protein, is infrequently altered across various cancer types.	ACTG1 is a cytoskeletal protein that is a member of the actin family (PMID: 24098136, 19497859, 6420066). Actin proteins comprise cellular filaments and can be classified into three groups: alpha, beta and gamma actin, with ACTG1 functioning as cytoplasmic gamma-actin (PMID: 24098136). ACTG1 is highly expressed in the cytoskeleton of diverse cell types, as well as in the Z-discs and costamere structures of adult striated muscles (PMID: 6420066). ACTG1 monomers are important for a variety of cellular functions including cell motility, muscle contraction, cell signaling, cell junction establishment and maintenance of cell shape (PMID: 24098136). ACTG1, along with ACTB, is highly expressed in dividing cells and is critical for adequate muscle function (PMID: 6420066). Germline mutations in ACTG1 have been identified in patients with hearing loss and in Baraiser-Winter Syndrome, a developmental disorder characterized by short stature, ptosis and hearing loss (PMID: 13680526, 14684684, 22366783). Somatic ACTG1 mutations are relatively rare in human cancers; however, a SNP in ACTG1 is associated with extreme toxicity to vincristine, a therapy commonly used to treat childhood acute lymphoblastic leukemia (PMID: 25084203). Overexpression of ACTG1 has also been implicated in hepatocellular carcinoma with mechanisms related to altered glucose metabolism and cellular proliferation (PMID: 30881024, 30675230).	True
ENST00000263640	NM_001111067.2	ENST00000263640	NM_001111067.2	90	ACVR1	True			ACVR1, a receptor protein, is mutated in various cancer types including diffuse intrinsic pontine glioma (DIPG).	ACVR1 (activin receptor type 1), also known as ALK2, is a transmembrane protein with cytosolic serine/threonine kinase activity that participates in signaling of transforming growth factor β (TGF-B) superfamily members. It signals by binding to bone morphogenetic proteins (BMPs) and activins and forms a heteromeric complex with other receptors. This complex is composed of two type 1 receptors, which are essential for intracellular signaling, and two type 2 receptors, which are essential for ligand binding. Binding of the ligand to the type 2 receptor stabilizes the complex and results in phosphorylation of type 1 receptors, thus resulting in downstream signaling mediated by the SMAD family of proteins (PMID: 15621726). In normal tissues, signaling through ACVR1 regulates cell survival, differentiation and proliferation. Somatic gain-of-function mutations in ACVR1 are the basis of the autosomal dominant condition fibrodysplasia ossificans progressive (FOP), which results in heterotopic ossification in humans (PMID: 25337067), and similar mutations are present in diffuse intrinsic pontine glioma (DIPG) (PMID: 24769718).	False
ENST00000257963	NM_004302	ENST00000257963	NM_004302	91	ACVR1B	False			ACVR1B, an activin receptor, is infrequently altered in cancer.	ACVR1B encodes for a serine/threonine kinase activin A type IB receptor that functions as a transducer for activin-like ligands that are growth and differentiation factors (PMID: 30335480). ACVR1B mediates TGF-β pathway activation through phosphorylation of the SMAD proteins (PMID: 15689496, 30335480). Knockdown of ACVR1B in pancreatic cancer cell lines and models induces cellular growth, tumorigenesis and dysregulated TGF-β signaling, suggesting that ACVR1B functions predominantly as a tumor suppressor gene (PMID: 11248065, 24886203). Inactivating mutations of ACVR1B have been identified in pancreatic cancer and ER-negative breast cancer (PMID: 24886203, 26408346, 8519692).	True
ENST00000241416	NM_001278579	ENST00000241416	NM_001278579	92	ACVR2A	False			ACVR2A, an activin receptor, is infrequently altered in cancer.	ACVR2A encodes for a serine/threonine kinase activin A type II receptor that functions as a transducer for activin-like ligands that are growth and differentiation factors (PMID: 35643319). ACVR2A regulates various biological processes through the mediation of TGF-β pathway activation and phosphorylation of SMAD proteins (PMID: 26497569, 32235336, 28569204). Mutations of ACVR2A are associated with an increased risk of the hypertension disorder preeclampsia (PMID: 29506428, 19126782). The oncogenic function of ACVR2A is likely tissue-specific. Knockdown of ACVR2A in colorectal cancer cell lines induces increased cellular migration, suggesting that ACVR2A functions predominantly as a tumor suppressor gene in this context (PMID: 30310521). However, ectopic expression of ACVR2A in gastric cancer cell lines induces increased cellular proliferation, migration and invasion, suggesting that ACVR2A functions predominantly as an oncogene in this context (PMID: 33420656, 32440149). Loss of ACVR2A expression and ACVR2A mutations are frequently identified in microsatellite instability-high cancers, including colorectal cancer and gastric cancer (PMID: 14988818, 32440149).	False
ENST00000368474	NM_015841.3	ENST00000368474	NM_001111.5	103	ADAR	False			ADAR, a double-stranded RNA adenosine deaminase, is infrequently altered in cancer.	ADAR, a member of the RNA-editing enzyme family, encodes for an RNA-specific adenosine deaminase that functions in adenosine-to-inosine (A-to-I) RNA editing in double-stranded RNA (dsRNA) (PMID: 36469491). ADAR RNA editing negatively regulates innate immunity pathways by blocking activation of the cytoplasmic dsRNA sensor MDA5, limiting immune responses and type I interferon activation (PMID: 38531645, 25172485). ADAR has two major protein isoforms, p110 and p150, which arise from alternative promoter usage and translation initiation sites. These isoforms differ in their expression patterns, structural domains and subcellular localization (PMID: 36892775, 39572551). There is conflicting evidence on the oncogenic role of ADAR. Knockdown of ADAR in thyroid cancer cell lines and models represses cellular proliferation, invasion and migration, suggesting that ADAR functions predominantly as an oncogene (PMID: 32157211). In contrast, overexpression of ADAR in osteosarcoma cell lines and models did not promote or accelerate tumorigenesis, suggesting that ADAR overexpression is not sufficient to initiate tumor formation (PMID: 37275274). ADAR has been identified as a synthetic lethal vulnerability in BRCA1/2-deficient cancers, where its loss causes R-loop-mediated DNA damage and autocrine interferon toxicity, highlighting the potential of ADAR as a therapeutic target (PMID: 40730818).	False
ENST00000381312	NM_018702.3	ENST00000381312	NM_018702.4	105	ADARB2	True			ADARB2, a double-stranded RNA adenosine deaminase, is infrequently altered in cancer.	ADARB2, a member of the RNA-editing enzyme family, encodes for a double-stranded RNA adenosine deaminase that lacks RNA-editing activity (PMID: 10836796, 8943218). Despite lacking deaminase activity to initiate adenosine-to-inosine RNA-editing, ADARB2 has been suggested to regulate the activity of other ADAR-family RNA-editing enzymes through binding of double- and single-stranded RNA (PMID: 10836796, 35850307). ADARB2 is predominantly expressed in brain tissue and functions in regulating long-term memory formation and cognitive processes, however, the underlying molecular mechanism of such is unclear (PMID: 29719497). Overexpression of ADARB2 in glioblastoma cell lines and models inhibits RNA-editing of glutamate receptor GRIA2 and subsequently promotes cellular migration and invasion, suggesting that ADARB2 functions predominantly as an oncogene (PMID: 28167531). ADARB2 amplification has been identified in glioblastoma (PMID: 35922651). Preclinical studies suggest that ADARB2 overexpression in glioblastoma confers resistance to temozolomide (PMID: 35922651).	False
ENST00000412232	NM_032777	ENST00000412232	NM_032777	25960	ADGRA2	True			ADGRA2, an adhesion G protein-coupled receptor, is infrequently altered in cancer.	ADGRA2, an orphan member of the adhesion G protein-coupled receptor family, encodes for an endothelial transmembrane receptor that functions primarily in regulating angiogenesis (PMID: 21071672, 25373781). ADGRA2 is a WNT7-specific coactivator that drives WNT signaling, and thus angiogenesis, through interaction with the GPI-anchored glycoprotein RECK in the central nervous system (PMID: 30026314, 21071672). Interaction between ADGRA2 and RECK is essential for neural crest development and regulation of the blood-brain barrier (PMID: 27979884, 28803732, 28858624). Mutations in ADGRA2 have been associated with hemorrhagic transformation and increased parenchymal hematoma risk (PMID: 32991049). Overexpression of ADGRA2 in various cancer cell lines and models induces cellular adhesion and increased cellular proliferation, suggesting that ADGRA2 functions predominantly as an oncogene (PMID: 28600358, 29402834). ADGRA2 alterations have been identified in colon cancer and leiomyosarcoma (PMID: 29844865, 31300531).	False
ENST00000394143	NM_153834.3	ENST00000394143	NM_153834.4	139378	ADGRG4	False			ADGRG4, a class B adhesion G protein-coupled receptor, is infrequently altered in cancer.	ADGRG4, a member of the subfamily G of the class B adhesion G protein-coupled receptors, encodes for an orphaned G protein-coupled receptor (PMID: 37863265). ADGRG4 is theorized to have functional relevance as an in vivo sensor for mechanical forces in enterochromaffin and Paneth cells of the small intestine (PMID: 37863265). Although there is a lack of functional evidence demonstrating the biological and oncogenic function of ADGRG4, it has been identified as frequently mutated and amplified in various cancers, suggesting a possible role as an oncogene. Amplification of ADGRG4 has been identified in patients with uterine corpus endometrial cancer and breast cancer, and is correlated with poor overall survival (PMID: 35413679, 38834774).	False
ENST00000396623	NM_144650	ENST00000396623	NM_144650	137872	ADHFE1	True			ADHFE1, a hydroxyacid-oxoacid transhydrogenase, is infrequently altered in cancer.	ADHFE1 encodes the hydroxyacid-oxoacid transhydrogenase enzyme which functions in the oxidation of gamma-hydroxybutyrate to succinic semialdehyde in mammalian tissue (PMID: 16616524). This oxidation reaction is coupled to the reduction of 2-ketoglutarate to D-2-hydroxyglutarate (PMID: 30250890). The promotion of reductive carboxylation by ADHFE1 supports increased acetyl-CoA synthesis and lipogenesis (PMID: 22106302). As ADHFE1 regulates multiple cellular functions, such as DNA replication and cell cycle control, depending on the tissue, its role in cancer has varied depending on cancer type (PMID: 34179501). MYC-induced overexpression of ADHFE1 in breast cancer cell lines promotes tumorigenesis through the accumulation of D-2-hydroxyglutarate and mitochondrial ROS, suggesting that ADHFE1 functions primarily as an oncogene in breast cancer (PMID: 29202474, 30250890). However, silencing of ADHFE1 in colorectal cancer patient-derived xenograft mice models and colorectal cancer cell lines increases tumor growth and cell proliferation (PMID: 31632063). Hypermethylation of ADHFE1 has been identified in various different types of cancer, including breast cancer, colon cancer and gastric cancer (PMID: 34179501).	False
ENST00000351017		ENST00000683244	NM_001386888.1	4301	AFDN	False			AFDN, a scaffold protein, is infrequently altered in cancer.	AFDN encodes for a multi-domain scaffold protein that functions primarily in cell-cell adhesion processes through interaction with adhesion molecules at adherens junctions (PMID: 10477764, 30463011). AFDN maintains the structural integrity of epithelial cells through interaction with nectin and the actin cytoskeleton (PMID: 11024295). Knockdown of AFDN in various cancer cell lines and models induces cellular migration, invasion and tumor growth, suggesting that AFDN functions predominantly as a tumor suppressor gene (PMID: 21478912, 25879875, 39047222, 35931706). AFDN loss has been identified in breast cancer and is associated with poor patient outcomes (PMID: 21478912). AFDN has been identified as a recurrent fusion partner with the gene KMT2A in acute myeloid leukemias with the t(6;11)(q27;q23) translocation (PMID: 34894139, 34864370).	True
