grch37Isoform	grch37RefSeq	grch38Isoform	grch38RefSeq	entrezGeneId	hugoSymbol	oncogene	highestSensitiveLevel	highestResistanceLevel	summary	tsg	highestResistancLevel
ENST00000318560	NM_005157.4	ENST00000318560	NM_005157.4	25	ABL1	TRUE	1	R1	ABL1, a tyrosine kinase, is frequently altered by chromosomal translocations in leukemia.	FALSE	R1
ENST00000502732	NM_007314.3	ENST00000502732	NM_007314.3	27	ABL2	TRUE			ABL2, a tyrosine kinase, is altered by chromosomal rearrangement in acute lymphoblastic leukemia.	FALSE	
ENST00000321945	NM_139076.2	ENST00000321945	NM_139076.2	84142	ABRAXAS1	FALSE			ABRAXAS1, a tumor suppressor and DNA repair protein, is recurrently altered by mutation and deletion in various cancer types.	TRUE	
ENST00000331925	NM_001199954.1	ENST00000573283	NM_001199954.1	71	ACTG1	FALSE			ACTG1, a cytoskeletal protein, is infrequently altered across various cancer types.	TRUE	
ENST00000263640	NM_001111067.2	ENST00000263640	NM_001111067.2	90	ACVR1	TRUE			ACVR1, a receptor protein, is mutated in various cancer types including diffuse intrinsic pontine glioma (DIPG).	FALSE	
ENST00000373204	NM_012199.2	ENST00000373204	NM_012199.2	26523	AGO1	TRUE			AGO1, an enzyme involved in RNA-mediated gene silencing, is overexpressed in various cancer types.	FALSE	
ENST00000220592	NM_012154.3	ENST00000220592	NM_012154.3	27161	AGO2	FALSE			AGO2, an enzyme involved in the RNA-mediated gene silencing, is overexpressed in various cancer types.	FALSE	
ENST00000262713	NM_032876.5	ENST00000262713	NM_032876.5	84962	AJUBA	FALSE			AJUBA, a scaffolding protein included in many protein complexes, is altered by mutation in various cancer types including head and neck, orpharyngeal, and esophageal cancer.	TRUE	
ENST00000349310	NM_001014431.1	ENST00000349310	NM_001014431.1	207	AKT1	TRUE	3A		AKT1, an intracellular kinase, is altered predominantly by mutation in various cancer types including breast and endometrial cancers.	FALSE	
ENST00000392038	NM_001626.4	ENST00000392038	NM_001626.4	208	AKT2	TRUE			AKT2, an intracellular kinase, is altered by mutation or amplification in various cancer types.	FALSE	
ENST00000263826	NM_005465.4	ENST00000263826	NM_005465.4	10000	AKT3	TRUE			AKT3, an intracellular kinase, is altered by mutation or amplification in various cancer types.	FALSE	
ENST00000295897	NM_000477.5	ENST00000295897	NM_000477.5	213	ALB	FALSE			ALB, an abundant protein in blood plasma, is infrequently altered in various cancer types.	FALSE	
ENST00000389048	NM_004304.4	ENST00000389048	NM_004304.4	238	ALK	TRUE	1	R2	ALK, a receptor tyrosine kinase, is recurrently altered by chromosomal rearrangements in various cancer types including anaplastic large cell lymphoma, non-small cell lung cancer and inflammatory myofibroblastic tumors.	FALSE	R2
ENST00000319144	NM_001139.2	ENST00000647874	NM_001139.2	242	ALOX12B	TRUE			ALOX12B, an enzyme involved in lipid metabolism, is altered by mutation, deletion and amplification in various cancer types.	TRUE	
ENST00000330258	NM_152424.3	ENST00000374869	NM_152424.3	139285	AMER1	FALSE			AMER1, a tumor suppressor involved in WNT signaling, is inactivated by mutation or deletion in various cancer types, most frequently in colorectal cancer.	TRUE	
ENST00000301030	NM_013275.5	ENST00000301030	NM_013275.5	29123	ANKRD11	FALSE			ANKRD11, a tumor suppressor and chromatin regulator, is inactivated by mutation or deletion in various cancer types.	TRUE	
ENST00000257430	NM_000038.5	ENST00000257430	NM_000038.5	324	APC	FALSE			APC, a tumor suppressor involved in WNT signaling, is recurrently altered in colorectal cancer.	TRUE	
ENST00000257254	NM_005161.4	ENST00000257254	NM_005161.4	187	APLNR	TRUE			APLNR, a G-protein coupled receptor, is altered by mutation in various cancer types and may promote resistance to immunotherapy.	TRUE	
ENST00000374690	NM_000044.3	ENST00000374690	NM_000044.3	367	AR	TRUE			AR (androgen receptor), a transcription factor, is most frequently altered in advanced or castration-resistant prostate cancer.	FALSE	
ENST00000377045	NM_001654.4	ENST00000377045	NM_001654.4	369	ARAF	TRUE	3A		ARAF, an intracellular kinase, is infrequently altered by mutation or amplification in various cancer types.	FALSE	
ENST00000404338	NM_004491.4	ENST00000404338	NM_004491.4	2909	ARHGAP35	TRUE			ARHGAP35, a GTPase activating protein that regulates RhoA, is altered by mutation and deletion across a variety of solid tumor types.	TRUE	
ENST00000426542	NM_001177693.1	ENST00000426542	NM_001177693.1	64283	ARHGEF28	TRUE			ARHGEF28, an intracellular kinase that regulates cell growth and metabolism, is infrequently altered in cancer.	FALSE	
ENST00000324856	NM_006015.4	ENST00000324856	NM_006015.4	8289	ARID1A	FALSE			ARID1A, a tumor suppressor involved in transcriptional regulation, is inactivated by mutation in various cancer types including endometrial and bladder cancers.	TRUE	
ENST00000346085	NM_020732.3	ENST00000647938	NM_020732.3	57492	ARID1B	FALSE			ARID1B, a tumor suppressor involved in transcriptional regulation, is inactivated by mutation or deletion in various cancer types.	TRUE	
ENST00000334344	NM_152641.2	ENST00000334344	NM_152641.2	196528	ARID2	FALSE			ARID2, a tumor suppressor involved in transcriptional regulation, is inactivated by mutation or deletion in various cancer types.	TRUE	
ENST00000263620	NM_005224.2	ENST00000263620	NM_005224.2	1820	ARID3A	FALSE			ARID3A, a transcription factor important in B cell differentiation, is infrequently mutated in a diverse range of cancers.	TRUE	
ENST00000346246	NM_001307939.1	ENST00000346246	NM_001307939.1	10620	ARID3B	TRUE			ARID3B, a DNA binding protein highly expressed in squamous epithelium, is infrequently mutated in a diverse range of cancers.	FALSE	
ENST00000378909	NM_001017363.1	ENST00000378909	NM_001017363.1	138715	ARID3C	FALSE			ARID3C, a DNA binding protein expressed in lymphocytes, is infrequently mutated in a diverse range of cancers.	FALSE	
ENST00000355431	NM_002892.3	ENST00000355431	NM_002892.3	5926	ARID4A	FALSE			ARID4A, a DNA binding protein involved in E2F transcription, is infrequently mutated in a diverse range of cancers.	TRUE	
ENST00000264183	NM_001206794.1	ENST00000264183	NM_001206794.1	51742	ARID4B	FALSE			ARID4B, a DNA binding protein that mediates E2F binding, is infrequently mutated in a diverse range of cancers.	TRUE	
ENST00000357485	NM_212481.1	ENST00000357485	NM_212481.1	10865	ARID5A	FALSE			ARID5A, an RNA binding protein, is infrequently mutated in a diverse range of cancers.	FALSE	
ENST00000279873	NM_032199.2	ENST00000279873	NM_032199.2	84159	ARID5B	FALSE			ARID5B, a tumor suppressor involved in transcriptional regulation, is altered at low frequencies in various cancer types.	TRUE	
ENST00000375687	NM_015338.5	ENST00000375687	NM_015338.5	171023	ASXL1	FALSE			ASXL1, a tumor suppressor and epigenetic regulator, is inactivated by mutation in various cancer types, most frequently in myeloid malignancies.	TRUE	
ENST00000435504	NM_018263.4	ENST00000435504	NM_018263.4	55252	ASXL2	FALSE			ASXL2, a tumor suppressor and epigenetic regulator, is inactivated by mutation in various cancer types including acute myeloid leukemia.	TRUE	
