"chromosome"	"start.pos"	"end.pos"	"Bf"	"N.BAF"	"sd.BAF"	"depth.ratio"	"N.ratio"	"sd.ratio"	"CNt"	"A"	"B"	"LPP"
"chr1"	13868	890743	0.33093822029858	330	0.112479523378771	0.709537883226456	6802	0.256148156659906	3	2	1	-7.24571107455297
"chr1"	892786	2046191	0.169711475707508	533	0.137710041348326	0.682481704343602	23524	0.150188805720156	2	2	0	-7.0644412660691
"chr1"	2051689	2092817	0.0771452394201372	84	0.0258003944874598	0.612998538556239	922	0.201319636625952	2	2	0	-6.74215073544297
"chr1"	2094609	2148086	0.326814402992283	65	0.109745827413234	0.686079586512252	1126	0.136046959619207	3	2	1	-6.90852986149485
"chr1"	2181827	2398222	0.0829713726981437	197	0.0658625530442346	0.694603493721355	4607	0.182736163060303	2	2	0	-6.75392412316039
"chr1"	2398563	2522373	0.106850917883675	119	0.0886087140279142	0.676163179660745	2659	0.169700700900849	2	2	0	-6.7926733490591
"chr1"	2522709	2777030	0.340733303338519	922	0.102235007071137	0.63466946855586	4738	0.204295465653925	3	2	1	-7.2023746567271
"chr1"	2801460	3578896	0.084661294098389	678	0.0676344527860656	0.66085799187067	16540	0.171125807979604	2	2	0	-6.74319486228407
"chr1"	3583378	3588316	0.321420113480782	32	0.109024851968596	0.718241128851195	136	0.201601237157735	3	2	1	-6.78430147787103
"chr1"	3593106	3687362	0.108525955993742	33	0.074753243063327	0.665919630287148	1947	0.142593056553069	2	2	0	-6.82147346739237
"chr1"	3693767	3694987	0.328381830064371	22	0.0793530251307573	0.875861872350317	41	0.271381539983659	9	6	3	-6.75727866074849
"chr1"	3696503	4135895	0.0821889240433124	551	0.0663189725825266	0.659013644917809	9610	0.195126474098301	2	2	0	-6.73609008638944
"chr1"	4136131	4136816	0.338189213047762	15	0.11732263208776	0.706582523762035	32	0.244082407752369	6	4	2	-6.73968264270458
"chr1"	4136975	4301475	0.103630650898673	178	0.0666657214431817	0.646828669393525	3543	0.17974912001842	2	2	0	-6.8074519121872
"chr1"	4302974	4303149	0.347084615473101	11	0.122205043788187	0.759612604092313	15	0.25052265366629	3	2	1	-6.7340645311128
"chr1"	4303565	4382635	0.0737669870689958	84	0.0274203666281853	0.648955073495666	1696	0.176010216934685	2	2	0	-6.76394267429671
"chr1"	4384646	4632575	0.0785161201302128	298	0.0316368737606635	0.601661253499144	5391	0.168975178404321	2	2	0	-6.76153698389569
"chr1"	4632582	4633051	0.294503014717235	9	0.116954050806289	0.527839702039523	26	0.415252760839245	7	5	2	-6.73616083554684
"chr1"	4633264	4934057	0.0832721680909127	243	0.0565622927691502	0.6328305713922	6382	0.160809310078042	2	2	0	-6.73837024895369
"chr1"	4939443	4939667	0.335007880261292	13	0.0738495525393107	0.543474604668135	22	0.141793040145722	6	4	2	-6.74941437229158
"chr1"	4940526	5285973	0.0798527747287617	414	0.0518411464794771	0.642188036141758	7459	0.181814263561377	2	2	0	-6.73336023453177
"chr1"	5286375	5300894	0.0863233085644898	71	0.0364533328083595	0.576698868879056	374	0.259819777672927	2	2	0	-6.75269803416821
"chr1"	5304019	5367040	0.0729914735941088	88	0.0282571205921415	0.661238747985064	1374	0.18930722032279	2	2	0	-6.77028276071752
"chr1"	5371747	5666331	0.0849675691723895	201	0.0487249591255965	0.636403983695439	6220	0.156276630761054	2	2	0	-6.74115691373824
"chr1"	5667109	5676169	0.389290175861182	265	0.083158523281035	0.666761639354863	484	0.177065738551245	5	3	2	-6.86112030465549
"chr1"	5676622	5744518	0.0735589268305604	121	0.0390121775859795	0.676049185133173	1507	0.208785583825553	2	2	0	-6.75119167282145
"chr1"	5744814	6003595	0.095061271157137	344	0.0722344843210908	0.669475726634793	5643	0.204620802838226	2	2	0	-6.76337108048202
"chr1"	6004964	6006706	0.368106057065792	13	0.0603795686279085	0.690721799982739	38	0.192569318401863	3	2	1	-6.77765803243843
"chr1"	6006716	6103865	0.0655017219250451	75	0.02428678504718	0.669407850550478	2068	0.169396720377057	2	2	0	-6.9421094233406
"chr1"	6107549	6156835	0.0803607015086263	55	0.0303835747758821	0.614832108565619	1068	0.16117128529824	2	2	0	-6.73604068809198
"chr1"	6160902	6563439	0.0744074537173813	252	0.0332618147580932	0.685147404816864	8481	0.162183778358342	2	2	0	-6.78023406073136
"chr1"	6567634	6704145	0.0741323661480917	106	0.037724279897707	0.679908375079392	2906	0.172410303767743	2	2	0	-6.75438278674496
"chr1"	6706493	6941018	0.0779271166150813	210	0.0665676473569642	0.697344354091316	5006	0.187235876149241	2	2	0	-6.75622459266905
"chr1"	6941248	8310008	0.0820246501938754	983	0.0465484347719174	0.653719928558811	28981	0.162228545379395	2	2	0	-6.73765926311261
"chr1"	8322227	8502074	0.286135915474703	15	0.145493086073662	0.679153884023876	3683	0.134987131557633	3	2	1	-7.34988721930697
"chr1"	8529706	9843490	0.0886264553656465	501	0.0795515847405351	0.684514381999208	27357	0.152745818715078	2	2	0	-6.84649021871154
"chr1"	9941181	9968600	0.344470145556796	10	0.171093249428491	0.715262853054663	573	0.127243978142452	3	2	1	-6.79708227990309
"chr1"	9977588	10463873	0.0795919066936979	370	0.0369330012748563	0.668846239613134	10363	0.172926450216747	2	2	0	-6.74401523130995
"chr1"	10464105	10838482	0.0760346764407621	293	0.0405458835825217	0.673896315948338	7955	0.171882756973107	2	2	0	-6.75152726154791
"chr1"	10840180	11037177	0.0772145916397226	285	0.0370833113306226	0.697203662438561	4362	0.219721276783243	2	2	0	-6.75016370905566
"chr1"	11039731	11265853	0.0887727189999779	187	0.0423495351031704	0.67073185943303	4823	0.172868189406473	2	2	0	-6.76460700698604
"chr1"	11265945	11521798	0.0788032132352258	346	0.0543471598216679	0.680683619052712	5617	0.193542860020572	2	2	0	-6.74396920112772
"chr1"	11522639	11522926	0.312889729261543	14	0.0994554403508658	1.09131103837729	20	0.290066979560892	13	9	4	-6.73599574963608
