Hugo_Symbol	Chromosome
A1BG	19q13.43
A1BG-AS1	19q13.43
A1CF	10q11.23
A1S9T	
A2M	12p13.31
A2M-AS1	12p13.31
A2ML1	12p13.31
A2ML1-AS1	12p13.31
A2ML1-AS2	12p13.31
A2MP1	12p13.31
A2MR	
A2MRAP	
A3GALT2	1p35.1
A4GALT	22q13.2
A4GNT	3q22.3
A12M1	
A12M2	
A12M3	
A12M4	
AA	11p15
AAAS	12q13.13
AABT	
AAC1	
AAC2	
AACS	12q24.31
AACSP1	5q35.3
AACT	
AADAC	3q25.1
AADACL2	3q25.1
AADACL2-AS1	3q25.1
AADACL3	1p36.21
AADACL4	1p36.21
AADACP1	3q25.1
AADAT	4q33
AAGAB	15q23
AAK1	2p13.3
AAMDC	11q14.1
AAMP	2q35
AANAT	17q25.1
AAR2	20q11.23
AARD	8q24.11
AARS1	16q22.1
AARS1P1	4q28.3
AARS2	6p21.1
AARSD1	17q21.31
AARSD1P1	Xq13.2
AASDH	4q12
AASDHPPT	11q22.3
AASS	7q31.32
AATBC	21q22.3
AATF	17q12
AATK	17q25.3
AAVS1	19q13
ABALON	20q11.21
ABAT	16p13.2
ABC1	
ABC2	
ABC3	
ABC7	
ABC50	
ABCA1	9q31.1
ABCA2	9q34.3
ABCA3	16p13.3
ABCA4	1p22.1
ABCA5	17q24.3
ABCA6	17q24.2-q24.3
ABCA7	19p13.3
ABCA8	17q24.2
ABCA9	17q24.2
ABCA9-AS1	17q24.2
ABCA10	17q24.3
ABCA11P	4p16.3
ABCA12	2q35
ABCA13	7p12.3
ABCA17P	16p13.3
ABCB1	7q21.12
ABCB2	
ABCB3	
ABCB4	7q21.12
ABCB5	7p21.1
ABCB6	2q35
ABCB7	Xq13.3
ABCB8	7q36.1
ABCB9	12q24.31
ABCB10	1q42.13
ABCB10P1	15q11.2
ABCB10P2	15q11.2
ABCB10P3	15q13.1
ABCB10P4	15q13.1
ABCB11	2q31.1
ABCC1	16p13.11
ABCC2	10q24.2
ABCC3	17q21.33
ABCC4	13q32.1
ABCC5	3q27.1
ABCC5-AS1	3q27.1
ABCC6	16p13.11
ABCC6P1	16p12.3
ABCC6P2	16p13.11
ABCC7	
ABCC8	11p15.1
ABCC9	12p12.1
ABCC10	6p21.1
ABCC11	16q12.1
ABCC12	16q12.1
ABCC13	21q11.2
ABCD1	Xq28
ABCD1P1	2p11.2
ABCD1P2	10p11.1
ABCD1P3	16p11.2
ABCD1P4	22q11.1
ABCD1P5	2p11.1
ABCD2	12q12
ABCD3	1p21.3
ABCD4	14q24.3
ABCE1	4q31.21
ABCF1	6p21.33
ABCF1-DT	6p21.33
ABCF2	7q36.1
ABCF2-H2BE1	7q36.1
ABCF2P1	3p11.1
ABCF2P2	7q11.22
ABCF3	3q27.1
ABCG1	21q22.3
ABCG2	4q22.1
ABCG4	11q23.3
ABCG5	2p21
ABCG8	2p21
ABCR	
ABHD1	2p23.3
ABHD2	15q26.1
ABHD3	18q11.2
ABHD4	14q11.2
ABHD5	3p21.33
ABHD6	3p14.3
ABHD8	19p13.11
ABHD10	3q13.2
ABHD11	7q11.23
ABHD11-AS1	7q11.23
ABHD11-AS2	7q11.23
ABHD12	20p11.21
ABHD12B	14q22.1
ABHD13	13q33.3
ABHD14A	3p21.2
ABHD14A-ACY1	3p21.2
ABHD14B	3p21.2
ABHD15	17q11.2
ABHD15-AS1	17q11.2
ABHD16A	6p21.33
ABHD16B	20q13.33
ABHD17A	19p13.3
ABHD17AP1	1q21.2
ABHD17AP2	1q21.1
ABHD17AP3	1q41
ABHD17AP4	22q11.21
ABHD17AP5	22q11.22
ABHD17AP6	17p11.2
ABHD17AP7	16p11.2
ABHD17AP8	16p11.2
ABHD17AP9	16p11.2
ABHD17B	9q21.13
ABHD17C	15q25.1
ABHD18	4q28.2
ABI1	10p12.1
ABI1P1	14q22.3
ABI2	2q33.2
ABI3	17q21.32
ABI3BP	3q12.2
ABITRAM	9q31.3
ABITRAMP1	13q14.13
ABL1	9q34.12
ABL2	1q25.2
ABLIM1	10q25.3
ABLIM2	4p16.1
ABLIM3	5q32
ABO	9q34.2
ABR	17p13.3
ABRA	8q23.1
ABRACL	6q24.1
ABRAXAS1	4q21.23
ABRAXAS2	10q26.13
ABT1	6p22.2
ABT1P1	4q23
ABTB1	3q21.3
ABTB2	11p13
ACAA1	3p22.2
ACAA2	18q21.1
ACACA	17q12
ACACB	12q24.11
ACAD	
ACAD8	11q25
ACAD9	3q21.3
ACAD10	12q24.12
ACAD11	3q22.1
ACADL	2q34
ACADM	1p31.1
ACADS	12q24.31
ACADSB	10q26.13
ACADVL	17p13.1
ACAN	15q26.1
ACAP1	17p13.1
ACAP2	3q29
ACAP2-IT1	3q29
ACAP3	1p36.33
ACAT1	11q22.3
ACAT2	6q25.3
ACBD3	1q42.12
ACBD3-AS1	1q42.12
ACBD4	17q21.31
ACBD5	10p12.1
ACBD6	1q25.2-q25.3
ACBD7	10p13
ACBP	
ACC	
ACCN	
ACCPN	15q13-q15
ACCS	11p11.2
ACCSL	11p11.2
ACD	16q22.1
ACE	17q23.3
ACE2	Xp22.2
ACE3P	17q23.3
ACER1	19p13.3
ACER2	9p22.1
ACER2P1	2q33.3
ACER3	11q13.5
ACH	
ACHAP	reserved
ACHE	7q22.1
ACHM1	14
ACHM2	
ACHM3	8q22.1-q22.2
ACHRD	
ACHRG	
ACIN1	14q11.2
ACKR1	1q23.2
ACKR2	3p22.1
ACKR3	2q37.3
ACKR4	3q22.1
ACKR4P1	6q24.1
ACLS	12p13.3-p11.2
ACLY	17q21.2
ACMG	
ACMSD	2q21.3
ACNATP	9q31.1
ACO1	9p21.1
ACO2	22q13.2
ACOD1	13q22.3
ACOT1	14q24.3
ACOT2	14q24.3
